record_id,pmid,pmcid,doi,title,authors,journal,year,url,category,category_label,evidence_type,key_findings,physical_model_use,spatial_scale,model_readiness,publication_types,abstract
17215493,17215493,,10.1212/01.wnl.0000250332.89420.e6,NF1 plexiform neurofibroma growth rate by volumetric MRI: relationship to age and body weight.,Dombi E; Solomon J; Gillespie AJ; Fox E; Balis FM; Patronas N; Korf BR; Babovic-Vuksanovic D; et al.,Neurology,2007,https://pubmed.ncbi.nlm.nih.gov/17215493/,growth_natural_history,Growth/natural history,volumetric MRI cohort,Longitudinal volumetric MRI showed heterogeneous plexiform neurofibroma growth and faster growth in younger patients.,Provides patient-scale growth-rate calibration targets and a >=20% volume-change convention.,4.0,5.0,"Journal Article; Research Support, N.I.H., Intramural; Research Support, U.S. Gov't, Non-P.H.S.","OBJECTIVE: To longitudinally analyze changes in plexiform neurofibroma (PN) volume in relation to age and body growth in children and young adults with neurofibromatosis type 1 and inoperable, symptomatic, or progressive PNs, using a sensitive, automated method of volumetric MRI analysis. METHODS: We included patients 25 years of age and younger with PNs entered in a natural history study or in treatment trials who had volumetric MRI over > or =16 months. RESULTS: We studied 49 patients (median age 8.3 years) with 61 PNs and a median evaluation period of 34 months (range 18 to 70). The PN growth rates varied among patients, but were constant within patients. Thirty-four patients (69%) experienced > or =20% increase in PN volume during the observation period. PN volume increased more rapidly than body weight over time (p = 0.026). Younger patients had the most rapid PN growth rate. CONCLUSIONS: Volume increase of plexiform neurofibromas is a realistic and meaningful trial endpoint. In most patients plexiform neurofibroma growth rate exceeded body growth rate. The youngest patients had the fastest plexiform neurofibroma growth rate, and clinical drug development should be directed toward this population. Age stratification for clinical trials for plexiform neurofibromas should be considered."
23035791,23035791,PMC3524754,10.1186/1750-1172-7-75,Growth dynamics of plexiform neurofibromas: a retrospective cohort study of 201 patients with neurofibromatosis 1.,Nguyen R; Dombi E; Widemann BC; Solomon J; Fuensterer C; Kluwe L; Friedman JM; Mautner VF,Orphanet journal of rare diseases,2012,https://pubmed.ncbi.nlm.nih.gov/23035791/,growth_natural_history,Growth/natural history,whole-body MRI cohort,A 201-patient cohort found internal plexiform neurofibroma burden and growth rates that correlated with younger age and tumor volume.,Supports age-dependent and tumor-burden-dependent growth-rate priors.,4.2,5.0,"Journal Article; Research Support, Non-U.S. Gov't","BACKGROUND: To examine the natural growth dynamics of internal plexiform neurofibromas (PNs) in patients with neurofibromatosis 1 (NF1). METHODS: Two hundred and one NF1 patients underwent whole body MRI (WBMRI). Tumour burden was estimated volumetrically. Non-parametric Spearman's rho correlation coefficients were used to analyse the relationship of growth rate to tumour volume and age. Chi-squared and Mann-Whitney U tests were used for analysing the association of tumour occurrence with sex or age. Chi-squared tests were used to analyse the association of tumour growth with age group. RESULTS: Seventy-one of 171 patients with serial WBMRI exams had internal PNs (median follow up 2.2 years [1.1 to 4.9 years]). Median whole body tumour volume was 86.4 mL [5.2 to 5878.5 mL]) with a median growth rate of 3.7%/year (-13.4 to 111%/year) that correlated with larger whole body tumour volume (P<0.001) and lower age (P=0.004). No new PNs developed in 273.0 patient-years among patients without tumours. Rate of new tumour development among patients with PNs was 0.6%/year (95% confidence interval 0.02 to 3.4%). Twenty-seven (13.5%) tumours increased significantly and were more frequent among children (P<0.001). Growth rate of tumours was inversely correlated with age (Spearman's rho=-0.330, P<0.001). Seventy-one (35.5%) tumours had smaller volumes on follow up (median -3.4%/year [-0.07% to -35.9%/year]). CONCLUSION: Children with NF1 and internal PNs are at risk for tumour growth. Most PNs grow slowly or not at all, and some decrease in size. New tumours are infrequent in NF1 patients with PNs and unlikely in patients without PNs."
36332985,36332985,PMC9969927,10.1212/WNL.0000000000201535,Ten-Year Follow-up of Internal Neurofibroma Growth Behavior in Adult Patients With Neurofibromatosis Type 1 Using Whole-Body MRI.,Ly KI; Merker VL; Cai W; Bredella MA; Muzikansky A; Thalheimer RD; Da JL; Orr CC; et al.,Neurology,2022,https://pubmed.ncbi.nlm.nih.gov/36332985/,growth_natural_history,Growth/natural history,10-year adult whole-body MRI cohort,A decade-long adult cohort showed that internal neurofibroma growth is heterogeneous and often slower in adults than in children.,Constrains adult growth-rate priors and supports tumor-specific rather than uniform growth parameters.,4.3,5.0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","BACKGROUND AND OBJECTIVES: Internal neurofibromas, including plexiform neurofibromas (PNF), can cause significant morbidity in patients with neurofibromatosis type 1 (NF1). PNF growth is most pronounced in children and young adults, with more rapid growth thought to occur in a subset of PNF termed distinct nodular lesions (DNL). Growth behavior of internal neurofibromas and DNL in older adults is not well documented; yet knowledge thereof is important for patient risk stratification and clinical trial design. The primary objective of this study was to evaluate the long-term growth behavior of internal neurofibromas in adults with NF1. Secondary objectives were to correlate tumor growth behavior with patient-specific, tumor-specific, and patient-reported variables. METHODS: In this prospective cohort study, internal neurofibromas were identified on coronal short TI inversion recovery sequences on baseline and follow-up whole-body MRIs (WBMRIs). Tumor growth and shrinkage were defined as a volume change ≥20%. The association between tumor growth and patient-specific (baseline age, sex, and genotype), tumor-specific (morphology, location, DNL presence on baseline WBMRI, and maximum standardized uptake value on baseline PET imaging), and patient-reported variables (endogenous and exogenous hormone exposure, pain intensity, and quality of life) was assessed using the Spearman correlation coefficient and Kruskal-Wallis test. RESULTS: Of 106 patients with a baseline WBMRI obtained as part of a previous research study, 44 had a follow-up WBMRI. Three additional patients with WBMRIs acquired for clinical care were included, generating 47 adults for this study. The median age during baseline WBMRI was 42 years (range 18-70). The median time between WBMRIs was 10.4 years. Among 324 internal neurofibromas, 62.8% (56% of PNF and 62.1% of DNL) shrank spontaneously without treatment and 17.1% (17.9% of PNF and 13.8% of DNL) grew. Growth patterns were heterogeneous within participants. Patient-specific, tumor-specific, and patient-reported variables (including endogenous and exogenous hormone exposure) were not strong predictors of tumor growth. DISCUSSION: Internal neurofibroma growth behavior in older adults differs fundamentally from that in children and young adults, with most tumors, including DNL, demonstrating spontaneous shrinkage. Better growth models are needed to understand factors that influence tumor growth. These results will inform clinical trial design for internal neurofibromas."
18559970,18559970,PMC2666233,10.1215/15228517-2008-011,Assessment of benign tumor burden by whole-body MRI in patients with neurofibromatosis 1.,Mautner VF; Asuagbor FA; Dombi E; Fünsterer C; Kluwe L; Wenzel R; Widemann BC; Friedman JM,Neuro-oncology,2008,https://pubmed.ncbi.nlm.nih.gov/18559970/,growth_natural_history,Growth/natural history,whole-body MRI cohort,Whole-body MRI was used to quantify benign internal tumor burden in NF1.,Defines imaging-derived tumor-burden observables for calibration and validation.,4.2,4.8,Journal Article,"People with neurofibromatosis 1 (NF1) have multiple benign neurofibromas and a 10% lifetime risk of developing malignant peripheral nerve sheath tumors (MPNSTs). Most MPNSTs develop from benign plexiform neurofibromas, so the burden of benign tumors may be a risk factor for developing MPNST. We studied 13 NF1 patients with MPNSTs and 26 age- and sex-matched controls (NF1 patients who did not have MPNSTs) with detailed clinical examinations and whole-body MRI to characterize their body burden of internal benign neurofibromas. Internal plexiform neurofibromas were identified in 22 (56%) of the 39 NF1 patients studied. All six of the NF1 patients with MPNSTs under 30 years of age had neurofibromas visualized on whole-body MRI, compared to only 3 of 11 matched NF1 controls under age 30 (p < 0.05). Both the median number of plexiform neurofibromas (p < 0.05) and the median neurofibroma volume (p < 0.01) on whole-body MRI were significantly greater among MPNST patients younger than 30 years of age than among controls. No significant differences in whole-body MRI findings were observed between NF1 patients with MPNSTs and controls who were 30 years of age or older. Whole-body MRI of NF1 patients allows assessment of the burden of internal neurofibromas, most of which are not apparent on physical examination. Whole-body imaging of young NF1 patients may allow those at highest risk for developing MPNST to be identified early in life. Close surveillance of these high-risk patients may permit earlier diagnosis and more effective treatment of MPNSTs that develop."
29718344,29718344,PMC6231202,10.1093/neuonc/noy067,Association of plexiform neurofibroma volume changes and development of clinical morbidities in neurofibromatosis 1.,Gross AM; Singh G; Akshintala S; Baldwin A; Dombi E; Ukwuani S; Goodwin A; Liewehr DJ; et al.,Neuro-oncology,2018,https://pubmed.ncbi.nlm.nih.gov/29718344/,growth_natural_history,Growth/natural history,natural history cohort,PN volume and changes were evaluated against clinically meaningful morbidities.,Connects simulated volume changes to functional outcomes and clinical relevance.,4.1,4.5,"Journal Article; Research Support, N.I.H., Intramural","BACKGROUND: Plexiform neurofibromas (PN) in neurofibromatosis 1 (NF1) can cause substantial morbidities. Clinical trials targeting PN have recently described decreases in PN volumes. However, no previous study has assessed the association between changes in PN volumes and PN-related morbidities. Our objective was to assess if increasing PN volume in NF1 is associated with increasing PN-related morbidity. METHODS: This is a retrospective review of patients enrolled on the NCI NF1 natural history study with ≥7 years of data available. Morbidities including pain, motor dysfunction, vision loss, and PN-related surgery were assessed at time of baseline PN MRI with volumetric analysis and time of MRI with maximum PN volume. RESULTS: Forty-one patients (median age at baseline 8 y) with 57 PN were included. At baseline, 40 PN had at least 1 PN-associated morbidity. During the observation period, 27 PN required increasing pain medication, and these PN grew faster per year (median difference 8.3%; 95% CI: 2.4, 13.8%) than those PN which did not. PN resulting in motor impairment at baseline (n = 11) had larger volumes compared with those that did not (median difference 461 mL; 95% CI: 66.9, 820). CONCLUSIONS: Many NF1 PN were associated with clinically significant morbidity at baseline, highlighting the need for longitudinal morbidity evaluations starting at an early age to capture changes in PN-associated morbidities. Prospective evaluation of standardized patient reported and functional outcomes in clinical trials are ongoing and may allow further characterization of the association of PN volume increase or decrease and clinical changes."
32152628,32152628,PMC7523449,10.1093/neuonc/noaa053,Longitudinal evaluation of peripheral nerve sheath tumors in neurofibromatosis type 1: growth analysis of plexiform neurofibromas and distinct nodular lesions.,Akshintala S; Baldwin A; Liewehr DJ; Goodwin A; Blakeley JO; Gross AM; Steinberg SM; Dombi E; et al.,Neuro-oncology,2020,https://pubmed.ncbi.nlm.nih.gov/32152628/,growth_natural_history,Growth/natural history,longitudinal imaging cohort,Analyzed growth of plexiform neurofibromas and distinct nodular lesions in NF1.,Suggests separating diffuse plexiform mass behavior from nodular lesion behavior.,4.1,4.8,"Journal Article; Research Support, N.I.H., Intramural; Research Support, Non-U.S. Gov't","BACKGROUND: Understanding the natural history of non-malignant peripheral nerve sheath tumors (PNSTs) in neurofibromatosis type 1 (NF1) is critical to optimal clinical care and the development of meaningful clinical trials. METHODS: We longitudinally analyzed growth of plexiform neurofibromas (PNs) and of PNSTs with distinct nodular appearance (distinct nodular lesions [DNLs]) using volumetric MRI analysis in patients enrolled on a natural history study (NCT00924196). RESULTS: DNLs were observed in 58/122 (45.6%) patients (median 2 DNLs/patient). In DNLs that developed during follow-up, median age of development was 17 years. A moderate negative correlation was observed between the estimated PN growth rate and patients' age at initial MRI (Spearman's r [95% CI]: -0.60 [-0.73, -0.43], n = 70), whereas only a weak correlation was observed for DNLs (Spearman's r [95% CI]: -0.25 [-0.47, 0.004]; n = 61). We observed a moderate negative correlation between tumor growth rate and baseline tumor volume for PNs and DNLs (Spearman's r [95% CI]: -0.52 [-0.67, -0.32] and -0.61 [-0.75, -0.42], respectively). Spontaneous tumor volume reduction was observed in 10 PNs and 7 DNLs (median decrease per year, 3.6% and 7.3%, respectively). CONCLUSION: We corroborate previously described findings that most rapidly growing PNs are observed in young children. DNLs tend to develop later in life and their growth is minimally age related. Distinct growth characteristics of PNs and DNLs suggest that these lesions have a different biology and may require different clinical management and clinical trial design. In a subset of PNs and DNLs, slow spontaneous regression in tumor volume was seen."
24321536,24321536,PMC3943976,10.1016/j.jpeds.2013.10.081,Puberty and plexiform neurofibroma tumor growth in patients with neurofibromatosis type I.,Dagalakis U; Lodish M; Dombi E; Sinaii N; Sabo J; Baldwin A; Steinberg SM; Stratakis CA; et al.,The Journal of pediatrics,2013,https://pubmed.ncbi.nlm.nih.gov/24321536/,growth_natural_history,Growth/natural history,retrospective cohort,Tested whether puberty accelerates plexiform neurofibroma growth in NF1.,Useful for deciding whether pubertal state should be an explicit growth covariate.,4.0,4.0,"Comparative Study; Journal Article; Observational Study; Research Support, N.I.H., Intramural","OBJECTIVE: To assess the relationship between pubertal progression and change in plexiform neurofibroma (PN) burden over time in pediatric and young adult patients with neurofibromatosis type 1 and PNs. STUDY DESIGN: Analyses accounted for sex, age, race, and chemotherapy. Forty-one patients with neurofibromatosis type 1 (15 female and 26 male patients) were studied at the National Institutes of Health. Tanner stage, testosterone, progesterone, estradiol, insulin-like growth factor -1, luteinizing hormone, and follicle-stimulating hormone were assessed. Tumor volume was measured using magnetic resonance imaging and lesion detection software developed locally. Patients were divided into 2 groups based on whether they were actively progressing through puberty (n = 16) or were peripubertal (n = 25) and were followed for an average of 20 months. Tumor growth rates in the puberty and peripubertal group were analyzed for a subset of patients. RESULTS: There was no statistically significant difference in tumor burden change over time (cm(2)/kg per month) between the pubertal and peripubertal groups (-0.16 ± 0.34 vs 0.03 ± 1.8, P = .31) and in the PN growth rates before and during puberty (P = .90). Change in tumor volume/patient weight/time did not correlate with testosterone change/time in males or estradiol change/time in females. CONCLUSION: These findings support that hormonal changes of puberty do not accelerate PN growth. Additional long-term follow-up of patients is necessary to further characterize the interaction between puberty and tumor growth."
39497113,39497113,PMC11536773,10.1186/s13023-024-03420-6,Whole-body MRI-based long-term evaluation of pediatric NF1 patients without initial tumor burden with evidence of newly developed peripheral nerve sheath tumors.,Schmalhofer ML; Farschtschi S; Kluwe L; Mautner VF; Adam G; Well L; Ristow I,Orphanet journal of rare diseases,2024,https://pubmed.ncbi.nlm.nih.gov/39497113/,growth_natural_history,Growth/natural history,pediatric whole-body MRI cohort,Long-term pediatric WBMRI followed patients without initial tumor burden and documented newly developed peripheral nerve sheath tumors.,Provides data for de novo tumor appearance probabilities in children.,4.2,4.4,"Journal Article; Research Support, Non-U.S. Gov't","BACKGROUND: Patients with neurofibromatosis type 1 (NF1) can develop plexiform neurofibromas (PN). Large tumor burden is a predictor for the development of malignant peripheral nerve sheath tumors. Whole-body magnetic resonance imaging (WB-MRI) is the recommended imaging method for the evaluation of PN. WB-MRI is recommended for NF1 patients at transition from adolescence to adulthood. In the absence of internal PN further follow-up WB-MRI is not considered necessary. PN are often detected in early childhood, leading to the assumption that they may be congenital lesions. It remains unclear whether this invariably applies to all patients or whether patients who initially displayed no tumors can still develop PN over time. Therefore, we retrospectively reviewed WB-MRI scans of pediatric patients with NF1 without initial tumor burden and compared these with long-term follow-up scans for presence of newly developed PN. METHODS: We retrospectively reviewed WB-MRI scans of 17 NF1-children (twelve male; median age at initial scan: 9 [IQR 6.1-11.9] years) who initially displayed no PN. MRI scans with a follow-up interval of at least 6 years (median follow-up interval: 9 [IQR 5.6-12.4] years) were reviewed in consensus by two radiologists regarding the development of new PN over time. RESULTS: New PN were identified in two out of 17 children without initial tumor burden in follow-up examinations. One of these two patients developed two larger distinct PN of 4.5 cm on the right upper arm and of 2.5 cm on the left thoracic wall between the age of ten and twelve. The second child developed multiple smaller PN along the major peripheral nerves between the age of eleven and 16. In addition, 15 of the children without initial tumor burden did not develop any distinct tumors for a period of at least 6 years. CONCLUSION: Our results indicate that PN can be newly detected in pediatric patients over time, even if no PN were detected on initial MRI scans. Therefore, it seems reasonable to perform at least a second MRI in pediatric NF1 patients at transition to adulthood, even if they did not display any tumor burden on initial MRI, and when the MRI was performed significantly under the age of 18. With this approach, tumors that may have developed between scans can be detected and patients at risk for complications can be identified."
20233971,20233971,PMC2910605,10.1182/blood-2009-09-242875,Mast cells and the neurofibroma microenvironment.,Staser K; Yang FC; Clapp DW,Blood,2010,https://pubmed.ncbi.nlm.nih.gov/20233971/,microenvironment,Microenvironment,review,"Reviews mast cells, Schwann cells, fibroblasts, blood vessels, and matrix as key neurofibroma microenvironment components.",Defines non-tumor cell classes for a multicellular model.,2.5,3.8,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Review","Neurofibromatosis type 1 (NF1) is the most common genetic disorder with a predisposition to malignancy and affects 1 in 3500 persons worldwide. NF1 is caused by a mutation in the NF1 tumor suppressor gene that encodes the protein neurofibromin. Patients with NF1 have cutaneous, diffuse, and plexiform neurofibromas, tumors comprised primarily of Schwann cells, blood vessels, fibroblasts, and mast cells. Studies from human and murine models that closely recapitulate human plexiform neurofibroma formation indicate that tumorigenesis necessitates NF1 loss of heterozygosity in the Schwann cell. In addition, our most recent studies with bone marrow transplantation and pharmacologic experiments implicate haploinsufficiency of Nf1 (Nf1(+/-)) and c-kit signaling in the hematopoietic system as required and sufficient for tumor progression. Here, we review recent studies implicating the hematopoietic system in plexiform neurofibroma genesis, delineate the physiology of stem cell factor-dependent hematopoietic cells and their contribution to the neurofibroma microenvironment, and highlight the application of this research toward the first successful, targeted medical treatment of a patient with a nonresectable and debilitating neurofibroma. Finally, we emphasize the importance of the tumor microenvironment hypothesis, asserting that tumorigenic cells in the neurofibroma do not arise and grow in isolation."
16835260,16835260,PMC3024714,10.1093/hmg/ddl165,Nf1+/- mast cells induce neurofibroma like phenotypes through secreted TGF-beta signaling.,Yang FC; Chen S; Clegg T; Li X; Morgan T; Estwick SA; Yuan J; Khalaf W; et al.,Human molecular genetics,2006,https://pubmed.ncbi.nlm.nih.gov/16835260/,microenvironment,Microenvironment,mouse and cellular model,Nf1+/- mast cells induced neurofibroma-like phenotypes through secreted TGF-beta signaling.,Adds mast-cell/fibroblast signaling and collagen deposition pathways to the model.,2.7,4.1,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.","Neurofibromas are common tumors found in neurofibromatosis type 1 (NF1) patients. These complex tumors are composed of Schwann cells, mast cells, fibroblasts and perineurial cells embedded in collagen that provide a lattice for tumor invasion. Genetic studies demonstrate that in neurofibromas, nullizygous loss of Nf1 in Schwann cells and haploinsufficiency of Nf1 in non-neuronal cells are required for tumorigenesis. Fibroblasts are a major cellular constituent in neurofibromas and are a source of collagen that constitutes approximately 50% of the dry weight of the tumor. Here, we show that two of the prevalent heterozygous cells found in neurofibromas, mast cells and fibroblasts interact directly to contribute to tumor phenotype. Nf1+/- mast cells secrete elevated concentrations of the profibrotic transforming growth factor-beta (TGF-beta). In response to TGF-beta, both murine Nf1+/- fibroblasts and fibroblasts from human neurofibromas proliferate and synthesize excessive collagen, a hallmark of neurofibromas. We also establish that the TGF-beta response occurs via hyperactivation of a novel Ras-c-abl signaling pathway. Genetic or pharmacological inhibition of c-abl reverses fibroblast proliferation and collagen synthesis to wild-type levels. These studies identify a novel molecular target to inhibit neurofibroma formation."
23099891,23099891,PMC3547628,10.1007/s00401-012-1056-7,Neurofibroma-associated macrophages play roles in tumor growth and response to pharmacological inhibition.,Prada CE; Jousma E; Rizvi TA; Wu J; Dunn RS; Mayes DA; Cancelas JA; Dombi E; et al.,Acta neuropathologica,2012,https://pubmed.ncbi.nlm.nih.gov/23099891/,microenvironment,Microenvironment,mouse and pharmacology,Neurofibroma-associated macrophages contributed to tumor growth and drug response.,"Supports macrophage recruitment, density, and state as growth modifiers.",2.8,4.2,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.","Neurofibromatosis type 1 (NF1) is a common genetic disease that predisposes 30-50 % of affected individuals to develop plexiform neurofibromas. We found that macrophage infiltration of both mouse and human neurofibromas correlates with disease progression. Macrophages accounted for almost half of neurofibroma cells, leading us to hypothesize that nerve macrophages are inflammatory effectors in neurofibroma development and/or growth. We tested the effects of PLX3397, a dual kit/fms kinase inhibitor that blocks macrophage infiltration, in the Dhh-Cre; Nf1(flox/flox) mouse model of GEM grade I neurofibroma. In mice aged 1-4 months, prior to development of nerve pathology and neurofibroma formation, PLX3397 did not impair tumor initiation and increased tumor volume compared to controls. However, in mice aged 7-9 months, after tumor establishment, a subset of mice demonstrating the largest reductions in macrophages after PLX3397 exhibited cell death and tumor volume regression. Macrophages are likely to provide an initial line of defense against developing tumors. Once tumors are established, they become tumor permissive. Macrophage depletion may result in impaired tumor maintenance and represent a therapeutic strategy for neurofibroma therapy."
29596064,29596064,PMC6025974,10.1172/JCI99424,Contributions of inflammation and tumor microenvironment to neurofibroma tumorigenesis.,Liao CP; Booker RC; Brosseau JP; Chen Z; Mo J; Tchegnon E; Wang Y; Clapp DW; et al.,The Journal of clinical investigation,2018,https://pubmed.ncbi.nlm.nih.gov/29596064/,microenvironment,Microenvironment,mouse genetics and intervention,Inflammation and tumor microenvironment were functionally linked to neurofibroma tumorigenesis.,Supports inflammatory recruitment and cytokine fields after Schwann-cell NF1 loss.,2.9,4.2,"Journal Article; Research Support, N.I.H., Extramural","Neurofibromatosis type 1 associates with multiple neoplasms, and the Schwann cell tumor neurofibroma is the most prevalent. A hallmark feature of neurofibroma is mast cell infiltration, which is recruited by chemoattractant stem cell factor (SCF) and has been suggested to sustain neurofibroma tumorigenesis. In the present study, we use new, genetically engineered Scf mice to decipher the contributions of tumor-derived SCF and mast cells to neurofibroma development. We demonstrate that mast cell infiltration is dependent on SCF from tumor Schwann cells. However, removal of mast cells by depleting the main SCF source only slightly affects neurofibroma progression. Other inflammation signatures show that all neurofibromas are associated with high levels of macrophages regardless of Scf status. These findings suggest an active inflammation in neurofibromas and partly explain why mast cell removal alone is not sufficient to relieve tumor burden in this experimental neurofibroma model. Furthermore, we show that plexiform neurofibromas are highly associated with injury-prone spinal nerves that are close to flexible vertebras. In summary, our study details the role of inflammation in neurofibromagenesis. Our data indicate that prevention of inflammation and possibly also nerve injury at the observed tumor locations are therapeutic approaches for neurofibroma prophylaxis and that such treatment should be explored."
35589737,35589737,PMC9120229,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,Anastasaki C; Mo J; Chen JK; Chatterjee J; Pan Y; Scheaffer SM; Cobb O; Monje M; et al.,Nature communications,2022,https://pubmed.ncbi.nlm.nih.gov/35589737/,microenvironment,Microenvironment,mouse and iPSC models,NF1-mutant neuronal hyperexcitability promoted nervous system tumor progression; peripheral neuron activity-regulated COL1A2 increased NF1-deficient Schwann-cell proliferation.,Adds nerve activity and neuron-derived paracrine factors as spatially local growth inputs.,2.8,4.0,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't","Neuronal activity is emerging as a driver of central and peripheral nervous system cancers. Here, we examined neuronal physiology in mouse models of the tumor predisposition syndrome Neurofibromatosis-1 (NF1), with different propensities to develop nervous system cancers. We show that central and peripheral nervous system neurons from mice with tumor-causing Nf1 gene mutations exhibit hyperexcitability and increased secretion of activity-dependent tumor-promoting paracrine factors. We discovered a neurofibroma mitogen (COL1A2) produced by peripheral neurons in an activity-regulated manner, which increases NF1-deficient Schwann cell proliferation, establishing that neurofibromas are regulated by neuronal activity. In contrast, mice with the Arg1809Cys Nf1 mutation, found in NF1 patients lacking neurofibromas or optic gliomas, do not exhibit neuronal hyperexcitability or develop these NF1-associated tumors. The hyperexcitability of tumor-prone Nf1-mutant neurons results from reduced NF1-regulated hyperpolarization-activated cyclic nucleotide-gated (HCN) channel function, such that neuronal excitability, activity-regulated paracrine factor production, and tumor progression are attenuated by HCN channel activation. Collectively, these findings reveal that NF1 mutations act at the level of neurons to modify tumor predisposition by increasing neuronal excitability and activity-regulated paracrine factor production."
33413690,33413690,PMC7792184,10.1186/s40478-020-01103-4,Human cutaneous neurofibroma matrisome revealed by single-cell RNA sequencing.,Brosseau JP; Sathe AA; Wang Y; Nguyen T; Glass DA; Xing C; Le LQ,Acta neuropathologica communications,2021,https://pubmed.ncbi.nlm.nih.gov/33413690/,mechanics_ecm,Mechanics/ECM,single-cell RNA sequencing,Single-cell analysis mapped the human cutaneous neurofibroma matrisome and matrix-producing cell populations.,Defines ECM species and likely cell sources for matrix deposition fields.,3.0,4.0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.","Neurofibromatosis Type I (NF1) is a neurocutaneous genetic syndrome characterized by a wide spectrum of clinical presentations, including benign peripheral nerve sheath tumor called neurofibroma. These tumors originate from the Schwann cell lineage but other cell types as well as extracellular matrix (ECM) in the neurofibroma microenvironment constitute the majority of the tumor mass. In fact, collagen accounts for up to 50% of the neurofibroma's dry weight. Although the presence of collagens in neurofibroma is indisputable, the exact repertoire of ECM genes and ECM-associated genes (i.e. the matrisome) and their functions are unknown. Here, transcriptome profiling by single-cell RNA sequencing reveals the matrisome of human cutaneous neurofibroma (cNF). We discovered that classic pro-fibrogenic collagen I myofibroblasts are rare in neurofibroma. In contrast, collagen VI, a pro-tumorigenic ECM, is abundant and mainly secreted by neurofibroma fibroblasts. This study also identified potential cell type-specific markers to further elucidate the biology of the cNF microenvironment."
37140985,37140985,PMC10266775,10.1172/JCI168227,Basement membrane proteins in extracellular matrix characterize NF1 neurofibroma development and response to MEK inhibitor.,Jiang C; Kumar A; Yu Z; Shipman T; Wang Y; McKay RM; Xing C; Le LQ,The Journal of clinical investigation,2023,https://pubmed.ncbi.nlm.nih.gov/37140985/,mechanics_ecm,Mechanics/ECM,ECM biology and treatment response,Basement membrane ECM proteins characterized NF1 neurofibroma development and response to MEK inhibition.,Links ECM composition to tumor state and treatment response variables.,3.0,4.0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, Non-U.S. Gov't","Neurofibromatosis type 1 (NF1) is one of the most common tumor-predisposing genetic disorders. Neurofibromas are NF1-associated benign tumors. A hallmark feature of neurofibromas is an abundant collagen-rich extracellular matrix (ECM) that constitutes more than 50% of the tumor dry weight. However, little is known about the mechanism underlying ECM deposition during neurofibroma development and treatment response. We performed a systematic investigation of ECM enrichment during plexiform neurofibroma (pNF) development and identified basement membrane (BM) proteins, rather than major collagen isoforms, as the most upregulated ECM component. Following MEK inhibitor treatment, the ECM profile displayed an overall downregulation signature, suggesting ECM reduction as a therapeutic benefit of MEK inhibition. Through these proteomic studies, TGF-β1 signaling was identified as playing a role in ECM dynamics. Indeed, TGF-β1 overexpression promoted pNF progression in vivo. Furthermore, by integrating single-cell RNA sequencing, we found that immune cells including macrophages and T cells produce TGF-β1 to induce Schwann cells to produce and deposit BM proteins for ECM remodeling. Following Nf1 loss, neoplastic Schwann cells further increased BM protein deposition in response to TGF-β1. Our data delineate the regulation governing ECM dynamics in pNF and suggest that BM proteins could serve as biomarkers for disease diagnosis and treatment response."
